;spell;feels_bad_man;feels_bad_man
0;{'name': 'Mana Break', 'description': ''Burns an opponent's mana on each attack.  Mana Break deals 50% of the mana burned as damage to the target.'',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Physical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0MANA BURNED PER HIT: 28 / 40 / 52 / 64'}, {'name': 'MAX MANA BURNED PER HIT', 'value': '1% / 2% / 3% / 4%'}, , ]};1;{'name': 'COOLDOWN', 'value': '0'};{'name': 'MANA COST', 'value': '0/0/0/0'}
1;{'name': 'Blink', 'description': 'Short distance teleportation that allows Anti-Mage to move in and out of combat.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};2;{'name': 'COOLDOWN', 'value': '15/12/9/6'};{'name': 'MANA COST', 'value': '60'}
2;{'name': 'Counterspell', 'description': 'Passively grants you magic resistance. Can be activated to create an anti-magic shell around you that sends any targeted spells back towards enemies instead of affecting you.',  'attributes': [, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 1.2'}, , ]};3;{'name': 'COOLDOWN', 'value': '15/11/7/3'};{'name': 'MANA COST', 'value': '45/50/55/60'}
3;{'name': 'Mana Void', 'description': 'For each point of mana missing by the target unit, damage is dealt to it and surrounding enemies.  The main target is also mini-stunned.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DAMAGE: 0.8 / 0.95 / 1.1'}, {'name': 'STUN DURATION', 'value': '0.3'}, {'name': 'RADIUS', 'value': '500'}, , ]};4;{'name': 'COOLDOWN', 'value': '70'};{'name': 'MANA COST', 'value': '125/200/275'}
4;{'name': ''Berserker's Call'', 'description': 'Axe taunts nearby enemy units, forcing them to attack him, while he gains bonus armor during the duration.',  'attributes': [, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0BONUS ARMOR: 30'}, {'name': 'DURATION', 'value': '2 / 2.4 / 2.8 / 3.2'}, , ]};3;{'name': 'COOLDOWN', 'value': '16/14/12/10'};{'name': 'MANA COST', 'value': '80/90/100/110'}
5;{'name': 'Battle Hunger', 'description': 'Enrages an enemy unit, causing it to be slowed and take damage over time until it kills another unit or the duration ends. Axe gains movement speed for each unit affected with Battle Hunger, half speed from creeps.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 12'}, {'name': 'MOVEMENT SLOW', 'value': '12%'}, {'name': 'SPEED BONUS', 'value': '12%'}, , ]};4;{'name': 'COOLDOWN', 'value': '20/15/10/5'};{'name': 'MANA COST', 'value': '50/60/70/80'}
6;{'name': 'Counter Helix', 'description': 'When attacked, Axe has a chance to perform a helix counter attack, dealing pure damage to all nearby enemies.',  'attributes': [, {'name': 'DAMAGE TYPE', 'value': 'Pure'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0RADIUS: 275'}, {'name': 'CHANCE TO HELIX', 'value': '17% / 18% / 19% / 20%'}, , ]};1;{'name': 'COOLDOWN', 'value': '0.30'};{'name': 'MANA COST', 'value': '0/0/0/0'}
7;{'name': 'Culling Blade', 'description': 'Axe spots a weakness and strikes, instantly killing an enemy unit with low health, or dealing moderate damage otherwise. When an enemy hero is killed with Culling Blade, its cooldown is reset, and Axe and nearby allied units gain bonus movement speed.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'Yes'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0KILL THRESHOLD: 250 / 325 / 400'}, {'name': 'DAMAGE', 'value': '150 / 250 / 300'}, {'name': 'KILL MOVE SPEED BONUS', 'value': '30%'}, {'name': 'KILL ATTACK SPEED BONUS', 'value': '30'}, {'name': 'KILL SPEED DURATION', 'value': '6'}, {'name': 'KILL SPEED RADIUS', 'value': '900'}, , ]};4;{'name': 'COOLDOWN', 'value': '75/65/55'};{'name': 'MANA COST', 'value': '60/120/180'}
8;{'name': 'Nightmare', 'description': 'Puts the target enemy or friendly Hero to sleep. Sleeping units are awakened when damaged. If the target was directly attacked, the Nightmare passes to the attacking unit. Bane can attack nightmared targets freely.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Heroes'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0DURATION: 4 / 5 / 6 / 7'}, , ]};4;{'name': 'COOLDOWN', 'value': '22/19/16/13'};{'name': 'MANA COST', 'value': '165/165/165/165'}
9;{'name': 'Brain Sap', 'description': 'Feasts on the vital energies of an enemy unit, healing Bane and dealing damage.',  'attributes': [, {'name': 'AFFECTS', 'value': 'Enemy Units'}, {'name': 'DAMAGE TYPE', 'value': 'Magical'}, {'name': 'PIERCES SPELL IMMUNITY', 'value': 'No'}, {'name': 'DAMAGE', 'value': '0 / 0 / 0 / 0'}, , ]};4;{'name': 'COOLDOWN', 'value': '14/13/12/11'};{'name': 'MANA COST', 'value': '90/115/140/165'}
